City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Khatanga,RU,71.9667,102.5,17.55,87,99,11.52,overcast clouds
79,Qaanaaq,GL,77.484,-69.3632,15.31,78,99,6.04,overcast clouds
80,Lompoc,US,34.6391,-120.4579,54.93,82,100,11.5,overcast clouds
81,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,44,12.86,light rain
82,Yeppoon,AU,-23.1333,150.7333,71.38,80,100,13.13,light rain
83,Jamestown,US,42.097,-79.2353,46.04,53,0,9.22,clear sky
84,Luderitz,NA,-26.6481,15.1594,52.68,73,0,15.28,clear sky
85,Killin,US,33.6123,-91.7412,62.69,82,0,3.44,clear sky
86,Port Hardy,CA,50.6996,-127.4199,44.6,93,75,5.75,light intensity shower rain
87,Grand Gaube,MU,-20.0064,57.6608,79.38,68,46,5.99,scattered clouds
88,Yashkul,RU,46.1711,45.3435,51.1,70,100,12.97,overcast clouds
89,Lata,PT,40.1629,-8.3327,54.07,64,97,3.38,overcast clouds
90,Kharan,PK,28.5833,65.4167,89.11,20,0,4.41,clear sky
91,Srednekolymsk,RU,67.45,153.6833,30.43,81,69,9.95,broken clouds
92,Namatanai,PG,-3.6667,152.4333,85.55,69,25,13.85,scattered clouds
93,Namibe,AO,-15.1961,12.1522,69.89,77,0,3.2,clear sky
94,Baykit,RU,61.67,96.37,31.08,74,100,16.75,overcast clouds
95,Hobart,AU,-42.8794,147.3294,60.26,58,20,11.5,few clouds
96,Lavrentiya,RU,65.5833,-171.0,32.5,91,100,5.26,overcast clouds
97,Lasa,IT,46.6166,10.7002,52.68,93,97,2.66,overcast clouds
98,Sistranda,NO,63.7256,8.834,37.36,61,99,19.3,overcast clouds
99,Terrace,CA,54.5163,-128.6035,48.11,57,75,8.05,shower rain
100,Castro,BR,-24.7911,-50.0119,47.23,99,61,4.07,broken clouds
101,Kulhudhuffushi,MV,6.6221,73.07,84.69,72,72,12.86,broken clouds
102,Moorhead,US,46.8739,-96.7676,59.02,76,100,17.27,heavy intensity rain
103,Mount Gambier,AU,-37.8333,140.7667,57.22,61,100,5.19,overcast clouds
104,Bengkulu,ID,-3.8004,102.2655,82.4,67,100,2.21,overcast clouds
105,Manono,CD,-7.3,27.4167,67.03,84,95,3.53,overcast clouds
106,Port Alfred,ZA,-33.5906,26.891,57.18,88,99,5.01,overcast clouds
107,Cravo Norte,CO,6.3017,-70.2041,72.75,96,92,4.23,overcast clouds
108,Portland,US,45.5234,-122.6762,47.55,82,100,6.91,overcast clouds
109,Cape Town,ZA,-33.9258,18.4232,57.9,84,0,9.22,clear sky
110,Esso,RU,55.9333,158.7,43.97,64,50,3.69,scattered clouds
111,Sao Filipe,CV,14.8961,-24.4956,72.19,80,8,12.46,clear sky
112,Kapaa,US,22.0752,-159.319,80.58,82,40,14.97,scattered clouds
113,Iqaluit,CA,63.7506,-68.5145,6.01,91,37,5.14,scattered clouds
114,Kaohsiung,TW,22.6163,120.3133,85.95,74,75,8.05,light rain
115,Mar Del Plata,AR,-38.0023,-57.5575,58.87,86,9,8.99,clear sky
116,Zigong,CN,29.3416,104.7769,86.86,48,1,6.11,clear sky
117,Boende,CD,-0.2167,20.8667,69.75,98,77,2.44,broken clouds
118,Hami,CN,42.8,93.45,80.44,18,100,7.4,overcast clouds
119,Kropotkin,RU,45.4375,40.5756,46.94,74,100,4.56,overcast clouds
120,Guerrero Negro,MX,27.9769,-114.0611,60.76,85,13,17.11,few clouds
121,Cidreira,BR,-30.1811,-50.2056,62.78,78,0,10.63,clear sky
122,Boa Vista,BR,2.8197,-60.6733,76.98,83,75,2.3,broken clouds
123,Birin,NP,26.8865,88.0718,67.93,66,99,1.54,overcast clouds
124,Babushkin,RU,51.7122,105.8647,51.66,66,86,15.66,overcast clouds
125,Cabo San Lucas,MX,22.8909,-109.9124,78.62,62,0,13.2,clear sky
126,Sitka,US,57.0531,-135.33,48.09,66,75,13.8,broken clouds
127,Kruisfontein,ZA,-34.0033,24.7314,51.89,73,66,4.18,broken clouds
128,Valparaiso,CL,-33.0393,-71.6273,55.47,84,100,3.44,overcast clouds
129,Atuona,PF,-9.8,-139.0333,78.93,72,30,15.08,scattered clouds
130,Kloulklubed,PW,7.0419,134.2556,75.7,79,100,11.65,overcast clouds
131,Provideniya,RU,64.3833,-173.3,32.38,96,100,9.28,overcast clouds
132,Yumen,CN,40.2833,97.2,70.05,18,0,4.63,clear sky
133,Hearst,CA,49.6835,-83.6665,37.65,51,94,7.96,overcast clouds
134,Nizhnevartovsk,RU,60.9344,76.5531,35.62,51,0,7.0,clear sky
135,Kawambwa,ZM,-9.7915,29.0791,63.77,75,95,4.18,overcast clouds
136,Sorland,NO,67.667,12.6934,37.26,61,97,20.65,overcast clouds
137,Ola,RU,59.5833,151.2833,33.53,92,98,1.99,overcast clouds
138,Robertsport,LR,6.7533,-11.3686,75.07,90,100,11.65,light rain
139,Itaituba,BR,-4.2761,-55.9836,73.11,99,97,1.32,overcast clouds
140,Saldanha,ZA,-33.0117,17.9442,56.3,85,3,11.36,clear sky
141,Kahului,US,20.8947,-156.47,78.82,71,20,14.97,few clouds
142,Torbay,CA,47.6666,-52.7314,33.28,90,40,4.61,scattered clouds
143,Dunedin,NZ,-45.8742,170.5036,58.8,82,100,2.57,overcast clouds
144,Northam,GB,51.0333,-4.2167,50.4,95,100,5.91,overcast clouds
145,Tiznit,MA,29.5833,-9.5,73.9,16,42,5.41,scattered clouds
146,Tuatapere,NZ,-46.1333,167.6833,59.23,90,100,2.62,overcast clouds
147,Kamenka,RU,51.3223,42.7678,47.75,52,3,4.94,clear sky
148,Kerikeri,NZ,-35.2268,173.9474,67.91,74,4,4.9,clear sky
149,Makakilo City,US,21.3469,-158.0858,79.12,60,0,20.71,clear sky
150,Upernavik,GL,72.7868,-56.1549,3.74,81,21,5.32,few clouds
151,Alice Springs,AU,-23.7,133.8833,69.22,32,0,14.97,clear sky
152,Springbok,ZA,-29.6643,17.8865,40.57,89,0,1.83,clear sky
153,Faya,SA,18.3851,42.4509,68.11,36,23,4.72,few clouds
154,Mattru,SL,7.6244,-11.8332,72.36,96,100,0.58,light rain
155,Carora,VE,10.1755,-70.0827,76.86,77,93,1.81,overcast clouds
156,Riyadh,SA,24.6877,46.7219,73.54,20,8,8.79,clear sky
157,Souillac,MU,-20.5167,57.5167,77.38,78,40,10.36,scattered clouds
158,Port Lincoln,AU,-34.7333,135.8667,61.23,65,26,8.59,scattered clouds
159,Hornostayivka,UA,47.0078,33.729,51.55,57,93,4.23,overcast clouds
160,Cayenne,GF,4.9333,-52.3333,81.09,1,75,3.44,broken clouds
161,Punta De Piedra,VE,7.6176,-71.4916,71.28,97,100,2.98,overcast clouds
162,Libertador General San Martin,AR,-23.8064,-64.7876,65.97,75,84,1.54,broken clouds
163,Beyla,GN,8.6833,-8.6333,68.05,96,100,2.89,overcast clouds
164,Goure,NE,13.9835,10.2704,89.02,26,13,7.38,few clouds
165,Manicore,BR,-5.8092,-61.3003,71.71,99,100,0.51,overcast clouds
166,Haines Junction,CA,60.7522,-137.5108,39.15,87,86,6.91,overcast clouds
167,Stepnogorsk,KZ,52.3544,71.8869,49.46,28,0,2.75,clear sky
168,Inuvik,CA,68.3499,-133.7218,43.56,52,20,5.75,few clouds
