City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Banda Aceh,5.5577,95.3222,81.19,78,98,6.49,ID,2022-05-08 00:36:03
68,Chunoyar,57.4467,97.3217,35.2,50,24,15.82,RU,2022-05-08 00:36:03
69,Riyadh,24.6877,46.7219,73.54,22,2,10.18,SA,2022-05-08 00:35:53
70,Nortelandia,-14.4547,-56.8028,66.94,60,2,1.83,BR,2022-05-08 00:36:04
71,Jackson,42.4165,-122.8345,54.79,70,75,12.66,US,2022-05-08 00:34:57
72,Cabo San Lucas,22.8909,-109.9124,88.11,30,0,9.22,MX,2022-05-08 00:32:32
73,Abha,18.2164,42.5053,64.65,39,0,0.0,SA,2022-05-08 00:33:21
74,Kodiak,57.79,-152.4072,58.51,38,0,17.27,US,2022-05-08 00:36:06
75,Berlevag,70.8578,29.0864,33.6,95,100,30.85,NO,2022-05-08 00:36:06
76,Bhattiprolu,16.1,80.7833,84.36,78,21,5.57,IN,2022-05-08 00:36:07
77,Qingdao,36.0986,120.3719,58.6,41,0,4.47,CN,2022-05-08 00:36:08
78,Sawtell,-30.3833,153.1,66.22,45,100,11.5,AU,2022-05-08 00:36:09
79,Arraial Do Cabo,-22.9661,-42.0278,72.05,81,82,9.8,BR,2022-05-08 00:36:09
80,Bambous Virieux,-20.3428,57.7575,76.21,88,75,9.22,MU,2022-05-08 00:36:10
81,Lagoa,39.05,-27.9833,60.21,72,100,6.11,PT,2022-05-08 00:36:10
82,Thompson,55.7435,-97.8558,66.36,52,75,4.61,CA,2022-05-08 00:33:41
83,Balaghat,21.8,80.1833,84.51,28,8,3.11,IN,2022-05-08 00:36:11
84,Kapaa,22.0752,-159.319,82.38,77,75,18.41,US,2022-05-08 00:36:12
85,Chester,40.1254,-75.8749,44.73,96,100,11.5,US,2022-05-08 00:36:12
86,Gat,31.61,34.7642,61.39,67,31,2.3,IL,2022-05-08 00:36:13
87,New Norfolk,-42.7826,147.0587,57.7,58,95,3.0,AU,2022-05-08 00:36:14
88,Severo-Kurilsk,50.6789,156.125,47.66,84,96,8.77,RU,2022-05-08 00:37:14
89,East London,-33.0153,27.9116,60.84,92,100,13.02,ZA,2022-05-08 00:37:15
90,Hasaki,35.7333,140.8333,66.6,56,94,22.46,JP,2022-05-08 00:37:15
91,Vaini,-21.2,-175.2,77.16,78,75,10.36,TO,2022-05-08 00:37:16
92,Vestmannaeyjar,63.4427,-20.2734,45.79,90,100,24.23,IS,2022-05-08 00:32:54
93,Hovd,48.0056,91.6419,61.02,35,6,14.81,MN,2022-05-08 00:37:17
94,Cayhagan,9.6697,122.4256,85.71,66,62,14.18,PH,2022-05-08 00:37:17
95,Sioux Lookout,50.1001,-91.917,64.47,32,75,9.22,CA,2022-05-08 00:37:18
96,Clyde River,70.4692,-68.5914,19.63,93,100,2.3,CA,2022-05-08 00:37:18
97,Atar,20.5169,-13.0499,87.33,12,14,5.7,MR,2022-05-08 00:37:19
98,Huarmey,-10.0681,-78.1522,66.78,85,38,8.57,PE,2022-05-08 00:37:19
99,Kuching,1.55,110.3333,77.22,100,20,5.01,MY,2022-05-08 00:37:20
100,Derzhavinsk,51.1,66.3167,42.17,43,79,12.39,KZ,2022-05-08 00:37:20
101,Ahipara,-35.1667,173.1667,67.5,60,13,3.78,NZ,2022-05-08 00:37:21
102,Holetown,13.1867,-59.6381,79.47,74,100,10.65,BB,2022-05-08 00:37:21
103,Mount Gambier,-37.8333,140.7667,57.11,77,40,8.05,AU,2022-05-08 00:37:22
104,Eureka,40.8021,-124.1637,57.18,71,5,5.99,US,2022-05-08 00:37:22
105,Sokolo,14.7328,-6.1219,93.69,27,100,14.45,ML,2022-05-08 00:37:23
106,Terrace,54.5163,-128.6035,53.51,40,100,8.05,CA,2022-05-08 00:37:23
107,Broome,42.2506,-75.833,52.57,46,0,9.22,US,2022-05-08 00:37:24
108,Cape Town,-33.9258,18.4232,57.88,84,0,14.97,ZA,2022-05-08 00:37:25
109,Hermanus,-34.4187,19.2345,58.28,81,100,4.23,ZA,2022-05-08 00:37:25
110,Hambantota,6.1241,81.1185,77.34,100,40,2.3,LK,2022-05-08 00:37:26
111,Butaritari,3.0707,172.7902,82.09,76,12,16.58,KI,2022-05-08 00:37:26
112,Chalons-En-Champagne,48.9539,4.3672,52.83,93,12,7.36,FR,2022-05-08 00:37:27
113,Ancud,-41.8697,-73.8203,56.77,90,100,21.56,CL,2022-05-08 00:37:27
114,Manta,-0.95,-80.7333,76.78,83,100,13.8,EC,2022-05-08 00:37:28
115,Saskylakh,71.9167,114.0833,11.14,91,48,12.68,RU,2022-05-08 00:37:28
116,Beringovskiy,63.05,179.3167,34.25,95,100,6.76,RU,2022-05-08 00:37:29
117,San Patricio,28.017,-97.5169,90.54,75,0,14.85,US,2022-05-08 00:37:29
118,Pevek,69.7008,170.3133,28.11,83,100,2.13,RU,2022-05-08 00:37:30
119,Menongue,-14.6585,17.691,61.92,72,75,1.7,AO,2022-05-08 00:37:30
120,Iqaluit,63.7506,-68.5145,28.13,59,75,8.05,CA,2022-05-08 00:37:31
121,Neiafu,-18.65,-173.9833,81.28,83,75,8.05,TO,2022-05-08 00:37:31
122,Morondava,-20.2833,44.2833,73.51,83,0,7.83,MG,2022-05-08 00:37:32
123,San Juan Bautista,-14.0108,-75.7358,68.38,71,6,2.48,PE,2022-05-08 00:37:32
124,Carnarvon,-24.8667,113.6333,68.07,73,75,5.75,AU,2022-05-08 00:37:33
