City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Rocha,UY,-34.4833,-54.3333,68.34,60,86,5.88,overcast clouds
79,Chegutu,ZW,-18.1302,30.1407,67.91,47,53,4.38,broken clouds
80,Dobre Miasto,PL,53.9867,20.3975,44.19,63,15,6.15,few clouds
81,Sochi,RU,43.6,39.7303,53.69,87,82,2.51,broken clouds
82,Grand Gaube,MU,-20.0064,57.6608,74.37,83,23,3.0,few clouds
83,Boa Vista,BR,2.8197,-60.6733,87.78,58,75,8.05,broken clouds
84,Rawah,IQ,34.4816,41.9093,74.98,23,0,7.47,clear sky
85,Boden,SE,65.8252,21.6886,41.0,76,100,10.49,light rain
86,Leirvik,NO,59.7798,5.5005,55.63,61,100,13.42,overcast clouds
87,Ponta Do Sol,PT,32.6667,-17.1,75.83,36,8,5.99,clear sky
88,Chimoio,MZ,-19.1164,33.4833,67.86,83,40,1.79,scattered clouds
89,Prachuap Khiri Khan,TH,12.2167,99.75,77.68,97,100,1.83,light rain
90,Pacific Grove,US,36.6177,-121.9166,59.02,59,6,5.01,clear sky
91,Mount Isa,AU,-20.7333,139.5,65.97,100,75,5.75,broken clouds
92,Inhambane,MZ,-23.865,35.3833,69.78,94,20,3.44,few clouds
93,Caceres,ES,39.522,-6.3748,76.8,34,88,2.75,overcast clouds
94,Sitka,US,57.0531,-135.33,51.4,62,18,7.31,few clouds
95,Tiznit,MA,29.5833,-9.5,85.1,14,100,3.42,overcast clouds
96,Yuancheng,CN,36.652,107.7896,51.21,91,100,5.88,overcast clouds
97,Japura,ID,-0.3167,102.35,76.24,97,100,1.81,overcast clouds
98,Akcakoca,TR,41.0866,31.1162,48.76,90,0,3.67,clear sky
99,Karlovac,HR,45.4872,15.5478,64.33,93,94,2.55,overcast clouds
100,Pisco,PE,-13.7,-76.2167,75.25,57,100,25.32,dust
101,Khatanga,RU,71.9667,102.5,31.53,98,100,15.86,light snow
102,Amapa,BR,1.0,-52.0,75.92,97,100,0.6,light rain
103,Sur,OM,22.5667,59.5289,86.67,58,0,7.99,clear sky
104,Burlington,US,39.8835,-74.6413,70.63,23,20,14.97,few clouds
105,Amga,RU,60.8953,131.9608,31.42,95,100,5.64,overcast clouds
106,Tucuman,AR,-26.8241,-65.2226,75.2,57,40,9.22,scattered clouds
107,Mackenzie,CA,55.2999,-123.1698,41.22,75,75,6.91,broken clouds
108,Ussuriysk,RU,43.7986,131.9508,37.22,57,0,6.24,clear sky
109,Port Alfred,ZA,-33.5906,26.891,63.41,77,9,1.86,clear sky
110,Tanabe,JP,33.7333,135.3667,60.93,90,100,3.13,overcast clouds
111,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,9.22,scattered clouds
